ISO,country
AUS ,Australia
NZL,New Zealand
OC_ROC,Rest Oceania
BRA,Brazil
CHL,Chile
SA_ROC,Rest South America
CHN,China
FIN,Finland
FRA,France
DEU,Germany
IND,India
IDN,Indonesia
JPN,Japan
POL,Poland
RUS,Russia
SWE,Sweden
AF_ROC,Rest Africa
AS_ROC,Rest Asia
EU_ROC,Rest Europe
CA_ROC,Rest Central America
NA_ROC,Rest North America
CAN,Canada
MEX,Mexico
USPC,Pacific Coast
USRM,Rocky Mountain
USNC,North Central
USNE,Northeast
USSC,South Central
USSE,Southeast
ARG,Argentina
AUT,Austria
BLR,Belarus
BEL,Belgium
EST,Estonia
LVA,Latvia
MYS,Malaysia
MMR,Myanmar (Burma)
NGA,Nigeria
NOR,Norway
PRT,Portugal
ROU,Romania
SVK,Slovakia
ZAF,South Africa
ESP,Spain
THA,Thailand
TUR,Turkey
UKR,Ukraine
GBR,United Kingdom
URY,Uruguay
VNM,Vietnam
